title,ratings,mean_ratings
13 teen,502,3.549800796812749
13aam number veedu,501,3.4880239520958085
13th,458,3.5447598253275108
13th locker,471,3.445859872611465
13th: a conversation with oprah winfrey & ava duvernay,488,3.581967213114754
14 blades,477,3.4245283018867925
14 cameras,552,3.4954710144927534
14 minutes from earth,480,3.5052083333333335
1492: conquest of paradise,458,3.5283842794759823
15 august,450,3.598888888888889
15 killings,483,3.546583850931677
15 minute forest stream meditation,510,3.484313725490196
15 minute mountain sleep visualization,502,3.585657370517928
15 minute ocean meditation,476,3.508403361344538
15 minute ocean sleep visualization,448,3.5
15 minute rain meditation,437,3.494279176201373
15 minutes of war,484,3.6518595041322315
15 years,484,3.5299586776859506
15-aug,500,3.567
15-minute anxiety meditation,447,3.5257270693512304
15-minute arms & core 8.0 workout (with weights),463,3.538876889848812
15-minute balance & burn 5.0 workout,435,3.6195402298850574
15-minute balance & burn 9.0 workout (with weights),438,3.4885844748858448
15-minute cardio burn 5.0 workout,478,3.50836820083682
15-minute cardio burst 4.0 workout,467,3.493576017130621
15-minute cardio challenge 6.0 workout (with weights),459,3.616557734204793
15-minute cardio core 4.0 workout,483,3.579710144927536
15-minute cardio core 7.0 workout (with weights),472,3.5667372881355934
15-minute cardio core 8.0 workout (with weights),469,3.598081023454158
15-minute cardio flow 7.0 workout (with weights),438,3.5148401826484017
15-minute cardio hiit 3.0 workout,461,3.502169197396963
15-minute core challenge 1.0 workout,506,3.588932806324111
15-minute core challenge 2.0 workout,430,3.4465116279069767
15-minute core challenge 9.0 workout (with weights),494,3.445344129554656
15-minute full body balance & tone 7.0 workout (with weights),451,3.5066518847006654
15-minute full body blast 3.0 workout,488,3.605532786885246
15-minute full body burn 1.0 workout,467,3.607066381156317
15-minute full body burn 2.0 workout,458,3.5436681222707422
15-minute full body burn 3.0 workout,484,3.53099173553719
15-minute full body challenge 7.0 workout (with weights),453,3.4834437086092715
15-minute full body challenge i 6.0 workout (with weights),502,3.5468127490039842
15-minute full body challenge ii 6.0 workout (with weights),480,3.5052083333333335
15-minute full body chisel & burn 7.0 workout (with weights),463,3.5518358531317493
15-minute guided meditation,483,3.540372670807453
15-minute hiit 1.0 workout,490,3.557142857142857
15-minute hiit 2.0 workout,483,3.5041407867494825
15-minute hiit 6.0 workout (with weights),464,3.5571120689655173
15-minute hiit 7.0 workout (with weights),475,3.537894736842105
15-minute hiit 9.0 (tabata workout with weights),508,3.470472440944882
15-minute hiit one 8.0 (tabata workout with weights),501,3.506986027944112
15-minute hiit two 8.0 (tabata workout with weights),481,3.558212058212058
15-minute legs & booty 8.0 workout (with weights),520,3.485576923076923
15-minute legs & booty sculpt 9.0 workout (with weights),501,3.4810379241516967
15-minute lower body chisel 1.0 workout,476,3.53781512605042
15-minute lower body chisel 2.0 workout,504,3.5406746031746033
15-minute lower body chisel 6.0 workout (with weights),476,3.485294117647059
15-minute lower strength focus 5.0 workout,488,3.5665983606557377
15-minute plyometrics: jump jump! 5.0 workout,451,3.5609756097560976
15-minute strength & sculpt 4.0 workout,504,3.5823412698412698
15-minute total body shred 9.0 workout (with weights),427,3.5737704918032787
15-minute total body tone-up 8.0 workout (with weights),479,3.521920668058455
15-minute upper body chisel 9.0 workout (with weights),476,3.564075630252101
15-minute upper body sculpt 1.0 workout,488,3.49077868852459
15-minute upper body sculpt 2.0 workout,458,3.5403930131004366
15-minute upper body sculpt 6.0 workout (with weights),497,3.482897384305835
15-minute upper strength focus 5.0 workout,504,3.681547619047619
15-minute yoga balance 2.0 (workout),483,3.5579710144927534
15-minute yoga core 1.0 workout,497,3.477867203219316
15-minute yoga core 2.0 (workout),487,3.5390143737166326
15-minute yoga flow 1.0 (workout),463,3.4686825053995682
15-minute yoga flow 2.0 (workout),462,3.5681818181818183
15-minute yoga hiit 1.0 (workout),445,3.5168539325842696
15-minute yoga power flow 2.0 (workout),471,3.508492569002123
15-minute yoga recover 1.0 workout,500,3.532
15-minute yoga stretch 1.0 workout,508,3.559055118110236
15-minute yoga stretch 2.0 (workout),493,3.5192697768762677
16 blocks,483,3.4699792960662528
16 minute chakra garden meditation,472,3.6313559322033897
17 again,470,3.508510638297872
18 presents,463,3.533477321814255
18 vayasu,487,3.5492813141683777
187,480,3.54375
1898: our last men in the philippines,509,3.475442043222004
1920,509,3.5
1922,431,3.5487238979118327
1939: westerplatte,468,3.4935897435897436
1983,468,3.5074786324786325
1984,497,3.523138832997988
1994,503,3.532803180914513
1996-1997 nba championship season - chicago bulls,459,3.4989106753812638
1br,477,3.538784067085954
1st summoning,498,3.5160642570281126
2 alone in paris,460,3.5467391304347826
2 below 0,470,3.448936170212766
2 days in new york,490,3.563265306122449
2 days in paris,437,3.488558352402746
2 hearts,456,3.5285087719298245
2 states,461,3.5954446854663775
2 weeks in lagos,481,3.543659043659044
"2,215",482,3.537344398340249
2.0 (hindi),475,3.5842105263157893
2.0 (tamil),526,3.5009505703422055
2.0 (telugu),458,3.4541484716157207
20 feet from stardom,518,3.5752895752895753
20 minutes,481,3.5166320166320166
"20,000 days on earth",518,3.5926640926640925
"20,000 leagues under the sea",478,3.459205020920502
2001 lakers,490,3.5357142857142856
2012,486,3.5349794238683128
2015 dream concert,485,3.41340206185567
2018 next gen atp finals,497,3.438631790744467
2019 avp austin open - day 1,465,3.5365591397849463
2019 avp austin open - day 2,467,3.558886509635974
2019 avp austin open - day 3,496,3.5493951612903225
2019 avp hawaii open - day 3,469,3.526652452025586
2019 avp hermosa beach open - day 2,471,3.524416135881104
2019 avp hermosa beach open - day 3,446,3.541479820627803
2019 avp huntington beach open - day 1,447,3.5782997762863533
2019 avp huntington beach open - day 2,476,3.48109243697479
2019 avp huntington beach open - day 3,522,3.518199233716475
2019 avp seattle open - day 3,497,3.539235412474849
2019 gold series avp new york city open - day 1,464,3.5980603448275863
2019 gold series avp new york city open - day 2,502,3.5368525896414345
2020 best of animation - presented by shortz,430,3.4593023255813953
2025 - the world enslaved by a virus,478,3.5
2036 origin unknown,465,3.5129032258064514
2047 virtual revolution,445,3.4898876404494383
2067,485,3.5164948453608247
2099: the soldier protocol,481,3.5405405405405403
20th century women,466,3.584763948497854
21,1447,3.5535590877677956
21 & over,484,3.521694214876033
21 again,463,3.591792656587473
21 day transformation,453,3.5441501103752757
21 grams,508,3.4881889763779528
21 sarfarosh: saragarhi 1897,508,3.626968503937008
21 thunder,509,3.536345776031434
2149: the aftermath,491,3.476578411405295
22 bullets,447,3.597315436241611
22 july,520,3.5326923076923076
22 vs. earth,458,3.5010917030567685
22-jul,492,3.6534552845528454
227,452,3.5132743362831858
23 blast,496,3.4576612903225805
2307: winter's dream,486,3.52880658436214
23:59,484,3.544421487603306
24,494,3.5435222672064777
24 hour love,470,3.508510638297872
24 hours in a&e,422,3.565165876777251
24 hours to live,1004,3.555776892430279
24 hours: assault on the capitol,459,3.52723311546841
24 legacy,488,3.5112704918032787
24 to life,496,3.526209677419355
25 kille,492,3.542682926829268
25 sets,469,3.6375266524520256
26 years,472,3.4978813559322033
27 september,478,3.448744769874477
"27, el club de los malditos",518,3.5530888030888033
27: gone too soon,534,3.602059925093633
28 days,529,3.61531190926276
28 days later,486,3.542181069958848
28 hotel rooms,461,3.513015184381779
28 moons,460,3.508695652173913
28 weeks later,510,3.573529411764706
2:hrs,458,3.5
2eleven,468,3.5598290598290596
2nd chances,448,3.5479910714285716
2nd date sex,484,3.4865702479338845
3 caminos,496,3.5473790322580645
3 caminos (4k uhd),535,3.5308411214953273
3 days to kill,488,3.564549180327869
3 deewarein,475,3.576842105263158
3 generations,482,3.45850622406639
3 heroines,436,3.563073394495413
3 idiots,455,3.5494505494505493
3 magic words,491,3.566191446028513
3 pints and a rabbi,454,3.5176211453744495
3 seconds divorce,507,3.6252465483234713
3 simple meditation practices,478,3.589958158995816
3 türken & ein baby,492,3.540650406504065
3%,511,3.5684931506849313
30 coins,458,3.611353711790393
30 day promise,467,3.5471092077087794
30 day yoga for weight loss with julia marie,449,3.556792873051225
30 days of luxury,507,3.537475345167653
30 days of night,495,3.5525252525252524
30 days of yoga for beginners | calm mind & body | eliz fitness,462,3.5010822510822512
30 for 30,523,3.4321223709369026
30 for 30 shorts,498,3.4789156626506026
30 minute singing bowl meditation,468,3.5373931623931623
30 minutes of flowing water,466,3.473175965665236
30 minutes of nature's beauty,478,3.5
30 minutes of relaxation,489,3.53680981595092
30 minutes of serenity,464,3.5635775862068964
30 minutes of sheep for relaxation,521,3.5758157389635317
30 minutes of water,506,3.541501976284585
30 minutes of water in nature,476,3.4968487394957983
30 minutes on the central california coast,465,3.576344086021505
30 minutes or less,968,3.511880165289256
30 minutes to relax in nature,520,3.4528846153846153
30 nights of paranormal activity with the devil inside the girl with the dragon tattoo,457,3.6028446389496716
30 rock,965,3.5481865284974092
30-minute anxiety meditation,510,3.5029411764705882
300 miles to heaven,486,3.496913580246914
3022,462,3.4913419913419914
306 hollywood,492,3.4796747967479673
32 seconds: a deadly night in rome,483,3.525879917184265
33 & beyond: the royal art of freemasonry,432,3.488425925925926
35 and ticking,492,3.5721544715447155
36 husbands,484,3.541322314049587
365 days,475,3.5936842105263156
37 seconds,490,3.5255102040816326
37-teen,477,3.6352201257861636
3below: tales of arcadia,506,3.4881422924901186
3rd class,462,3.5108225108225106
4 blocks,497,3.585513078470825
4 blocks (english dubbed),458,3.4443231441048034
4 cars,455,3.513186813186813
4 lovers,504,3.4831349206349205
4/20 massacre,483,3.5351966873706004
40 carats,458,3.53056768558952
40 sticks,499,3.496993987975952
41,502,3.50996015936255
42 grams,471,3.550955414012739
44 cats,473,3.56553911205074
45 days to be rich,521,3.54510556621881
45 minutes in south america,500,3.567
45 rpm,484,3.565082644628099
46,480,3.521875
47 days,506,3.5207509881422925
47 meters down,458,3.5655021834061134
47 meters down: uncaged,501,3.525948103792415
47 meters down: uncaged (4k uhd),481,3.4636174636174637
48 christmas wishes,482,3.490663900414938
49-o,535,3.6205607476635513
4l,454,3.5715859030837005
4th man out,1011,3.565281899109792
4th republic,516,3.559108527131783
4x4,482,3.5311203319502074
5 cowok jagoan,465,3.481720430107527
5 flights up,497,3.6006036217303823
5 souls,474,3.518987341772152
5 star christmas,492,3.527439024390244
5 to 7,474,3.4430379746835444
5 years apart,476,3.5588235294117645
5-minute anxiety meditation,476,3.5493697478991595
50 first dates,475,3.514736842105263
50 summers,453,3.6026490066225167
50/50,453,3.5816777041942607
500 days of summer (4k uhd),443,3.479683972911964
50m2,478,3.5460251046025104
53206: milwaukee,485,3.5237113402061855
54321,522,3.5909961685823757
5:55 (five fifty five),464,3.439655172413793
5cm,458,3.541484716157205
5gang,470,3.5638297872340425
5k1-states evidence,488,3.581967213114754
5th street,435,3.485057471264368
6 balloons,468,3.5373931623931623
6 below,479,3.5448851774530272
6 bullets,492,3.5152439024390243
6 days,1012,3.530632411067194
6 minutes of yoga by the ocean,524,3.510496183206107
6 underground,496,3.559475806451613
6 years,475,3.531578947368421
6-5=2,469,3.553304904051173
6-headed shark attack,499,3.5160320641282565
60 days in,1388,3.507564841498559
60 days in: narcoland,460,3.5956521739130434
60 vayadu maaniram,502,3.5338645418326693
66 sadashiv,455,3.441758241758242
678,525,3.5504761904761906
68 kill,975,3.5543589743589745
69: the saga of danny hernandez,500,3.566
7 (seven),476,3.527310924369748
7 assassins,447,3.5268456375838926
7 años,487,3.5913757700205338
7 days out,482,3.4190871369294604
7 din mohabbat in,490,3.6214285714285714
7 khoon maaf,460,3.6543478260869566
7 love,467,3.5353319057815846
7 minute yoga nidra for focus,488,3.5625
7 yards: the chris norton story,451,3.573170731707317
700 sharks,499,3.532064128256513
706,493,3.4868154158215012
72 cutest animals,478,3.4989539748953975
72 dangerous animals: asia,442,3.498868778280543
72 dangerous animals: latin america,492,3.5264227642276422
72 dangerous places to live,486,3.537037037037037
730,493,3.504056795131846
7500,452,3.517699115044248
78/52: hitchcock's shower scene,491,3.4908350305498983
7:19,475,3.5031578947368422
7seeds,484,3.480371900826446
7th and westlake nino's revenge,496,3.5131048387096775
7th heaven,485,3.48659793814433
8 days,462,3.5162337662337664
8 hours of gentle soothing surf for sleep,467,3.6316916488222697
8 hours of waves for sleep,446,3.458520179372197
8 minute meditation to forget and forgive,496,3.538306451612903
8 out of 10 cats,437,3.4725400457665905
83 degrees - ski the north,484,3.4039256198347108
8aam number veedu,499,3.5110220440881763
9,508,3.466535433070866
9 hour rainstorm for sleep black screen,513,3.5155945419103314
9 months that made you,474,3.550632911392405
9 stacks,480,3.5677083333333335
9-1-1,462,3.537878787878788
9-1-1: lone star,487,3.602669404517454
9-minute yoga: guided meditation & visualization,502,3.446215139442231
9/11 20 years later: women of resilience,473,3.489429175475687
9/11 phone calls from the towers,468,3.530982905982906
9/11 twenty years later: the longest shadow,492,3.480691056910569
9/11: one day in america,439,3.4726651480637813
90 day fiancé,505,3.5782178217821783
90 day fiancé: before the 90 days,452,3.618362831858407
90 day fiancé: happily ever after?,499,3.5250501002004007
90 day fiancé: self-quarantined,465,3.524731182795699
90 day fiancé: the other way,503,3.592445328031809
90 ml,448,3.5267857142857144
911 nightmare,458,3.643013100436681
93 days,497,3.5985915492957745
99 days with the superstar,491,3.5040733197556007
99 f,497,3.5422535211267605
99 songs,498,3.5
99 songs (tamil),465,3.6516129032258067
99 songs (telugu),458,3.4901746724890828
9to5: the story of a movement,493,3.4665314401622718
_dupe_the making of the mob: chicago,484,3.5051652892561984
a 2nd chance,964,3.5497925311203318
a 3 minute hug,517,3.460348162475822
a 30-minute journey around the world,487,3.544147843942505
a babysitter's guide to monster hunting,472,3.5995762711864407
a bad moms christmas,446,3.5672645739910314
a beautiful day in the neighborhood,498,3.609437751004016
a beautiful life,503,3.485089463220676
a beautiful planet,499,3.532064128256513
a beginner's guide to endings,505,3.5425742574257426
a billion colour story,473,3.548625792811839
a bite of shunde,489,3.5010224948875255
a box for rob,487,3.6878850102669403
a box of faith,453,3.5607064017660046
a boy called po,490,3.475510204081633
a boy called sailboat,500,3.491
a boy name flora a,500,3.49
a boy named charlie brown,485,3.571134020618557
"a boy, a girl, and a dog",466,3.531115879828326
a brand new kitchen,440,3.5125
a breed of heroes,428,3.588785046728972
a bride for christmas,483,3.600414078674948
a bridge too far,480,3.4833333333333334
a brief inquisition into the luxury dining experience (and the world of food),449,3.5033407572383073
a brilliant young mind,517,3.4777562862669247
a bucket of blood,962,3.517151767151767
a bug's life,462,3.564935064935065
a bullet for sandoval,464,3.5183189655172415
a california christmas,475,3.5273684210526315
a celebration of the music from coco,466,3.4109442060085837
a century of black cinema,462,3.553030303030303
a century of the queen mother: 100 years in 100 minutes,494,3.576923076923077
a certain magical index,501,3.6117764471057883
a certain scientific railgun,506,3.558300395256917
a champion heart,515,3.521359223300971
a chaster marriage,499,3.527054108216433
a chinese ghost story,463,3.535637149028078
a chinese ghost story ii,462,3.4296536796536796
a chinese ghost story iii,444,3.561936936936937
a choo,489,3.574642126789366
a chorus line,482,3.5145228215767634
a christmas carol (2019),464,3.5678879310344827
a christmas catch,439,3.568337129840547
a christmas hero,493,3.5141987829614605
a christmas in royal fashion,466,3.5021459227467813
a christmas kiss ii,476,3.5892857142857144
a christmas movie christmas,525,3.5095238095238095
a christmas prince,482,3.550829875518672
a christmas prince: the royal baby,449,3.5133630289532296
a christmas prince: the royal wedding,444,3.5
a christmas princess,476,3.509453781512605
a christmas solo,538,3.6050185873605947
a christmas special: miraculous: tales of ladybug & cat noir,483,3.427536231884058
a ciambra,475,3.542105263157895
a cinderella story,481,3.5415800415800414
a cinderella story: christmas wish,515,3.5349514563106794
a class apart,489,3.5439672801635993
a classic horror story,485,3.55360824742268
a clockwork orange,453,3.5783664459161146
a company of heroes,491,3.518329938900204
a conversation between black men,442,3.4411764705882355
a conversation with black women,462,3.5259740259740258
a country christmas,504,3.5813492063492065
a cowgirl's story,437,3.5560640732265445
a crooked somebody,483,3.5165631469979295
a dangerous man,492,3.4928861788617884
a dangerous woman,497,3.4839034205231387
a date with murder,482,3.5518672199170123
a day in the life,477,3.5555555555555554
a deadly legend,487,3.4948665297741273
a death in the gunj,452,3.454646017699115
a different kind of christmas,472,3.5413135593220337
a different loyalty,481,3.4875259875259874
a difficult woman,500,3.503
a distant place,459,3.445533769063181
a dog barking at the moon,473,3.431289640591966
a dog's courage,538,3.549256505576208
a dot and a line,493,3.5628803245436105
a fairly odd summer,471,3.5552016985138004
a fall from grace,485,3.4835051546391753
a familiar lie,527,3.5588235294117645
a family,484,3.5454545454545454
a family affair,484,3.5485537190082646
a family man,963,3.504153686396677
a family reunion christmas,521,3.5172744721689058
a faraway land,478,3.538702928870293
a farewell to arms,481,3.506237006237006
a fatal inversion,463,3.562634989200864
a father's son,425,3.591764705882353
a field in england,491,3.5631364562118124
a fighting man,496,3.5141129032258065
a fine step,485,3.5835051546391754
a first farewell,495,3.6363636363636362
a flying jatt,452,3.5309734513274336
a flying princess and a secret island (dubbed),472,3.5158898305084745
a flying princess and a secret island (subbed),482,3.54149377593361
a fortunate man,455,3.543956043956044
a french village (english subtitled),528,3.4857954545454546
a friendship,942,3.611464968152866
a futile and stupid gesture,490,3.509183673469388
a ghost story,490,3.5693877551020408
a girl and three sweethearts,488,3.5399590163934427
a girl like grace,478,3.538702928870293
a girl like her,504,3.445436507936508
a girl of the limberlost,472,3.527542372881356
a girl's best friend,482,3.5767634854771786
a glimpse inside the mind of charles swan iii,463,3.524838012958963
a glitch in the matrix,464,3.509698275862069
a go! go! cory carson christmas,471,3.621019108280255
a go! go! cory carson halloween,481,3.5124740124740126
a go! go! cory carson summer camp,473,3.556025369978858
a good man,489,3.579754601226994
a good old fashioned orgy,492,3.5792682926829267
a good wife,434,3.511520737327189
a good year,521,3.40978886756238
a goofy movie,461,3.4718004338394794
a grand night in: the story of aardman,449,3.4710467706013364
a gray state,476,3.5703781512605044
a haunted house,493,3.5405679513184585
a haunted house 2,490,3.5551020408163265
a haunting at silver falls: the return,485,3.479381443298969
a haunting on brockway street,464,3.605603448275862
a haunting on dice road 2: town of the dead,483,3.4699792960662528
a haunting on dice road: the hell house,487,3.530800821355236
a haunting on hamilton street,531,3.547080979284369
a haunting on potter street,491,3.5417515274949083
a haunting on washington avenue: the temple theatre,477,3.6352201257861636
a heavy heart,453,3.566225165562914
a hell of a ride,487,3.415811088295688
a history of black achievement in america,498,3.4919678714859437
a hobo's christmas,470,3.522340425531915
a holiday engagement,496,3.5836693548387095
a hologram for the king,488,3.646516393442623
a home with a view,514,3.6429961089494163
a house of blocks,463,3.529157667386609
a hug,450,3.57
a husband for christmas,499,3.4779559118236474
a i 1.o,510,3.588235294117647
a journey around the globe for kids,483,3.5269151138716355
a journey through chicago,503,3.530815109343936
a kid from coney island,519,3.5481695568400773
a kid in king arthur's court,497,3.601609657947686
a killer on floor 32,474,3.5917721518987342
a kind of murder,942,3.5621019108280256
a kind of wonderful thing,486,3.5473251028806585
a knight for a day,489,3.4713701431492843
a korean odyssey,473,3.504228329809725
a land imagined,491,3.4714867617107945
a landing on the sun,522,3.5756704980842913
a leaf of faith,472,3.510593220338983
a life of speed: the juan manuel fangio story,455,3.501098901098901
a lion in the house,475,3.5694736842105264
a little bit zombie,471,3.4957537154989384
a little chaos,509,3.5324165029469548
a little help with carol burnett,484,3.5165289256198347
a little thing called first love,472,3.542372881355932
a little water,484,3.5578512396694215
a lonely woman,483,3.56935817805383
a long strange trip,469,3.481876332622601
a love so beautiful,448,3.541294642857143
a love song for latasha,486,3.5246913580246915
a love story,527,3.571157495256167
a love that hurts,479,3.537578288100209
a man alone,481,3.5415800415800414
a man called god,448,3.458705357142857
a man for the week end,499,3.5571142284569137
a man possessed,485,3.5556701030927833
a marriage of convenience,463,3.5518358531317493
a memory in my heart,523,3.5133843212237093
a mighty heart,479,3.579331941544885
a mighty team,490,3.5285714285714285
a mile in his shoes,446,3.5011210762331837
a million hits,467,3.640256959314775
a mind of her own,477,3.548218029350105
a mission in an old movie,518,3.537644787644788
a monkey's tale,441,3.5839002267573696
a monster calls,529,3.508506616257089
a most beautiful thing,488,3.5737704918032787
a most violent year,494,3.5
a mother's escape,494,3.5303643724696356
a mother's nightmare,466,3.6008583690987126
a mothers testimony,453,3.522075055187638
a muppets christmas: letters to santa,472,3.6091101694915255
a murder in the park,467,3.601713062098501
a murderous affair in horizon tower,471,3.403397027600849
a nasty piece of work,482,3.554979253112033
a new capitalism,479,3.5647181628392484
a new husband for christmas,466,3.5793991416309012
a new leaf,962,3.567047817047817
a new york christmas wedding,498,3.566265060240964
a nice girl like you,467,3.5867237687366167
a night at the roxbury,917,3.52453653217012
a night in old mexico,459,3.4814814814814814
a night in versailles,451,3.5365853658536586
a noble intention,496,3.618951612903226
a nun's curse,482,3.5020746887966805
a one-hour world tour,520,3.544230769230769
a patch of fog,451,3.620842572062084
a path appears,484,3.540289256198347
a patriot's day,493,3.5740365111561867
a perfect crime,491,3.4134419551934827
a perfect day,458,3.532751091703057
a perfect day for arsenide,488,3.55327868852459
a perfect ending,1024,3.52392578125
a perfect enemy,487,3.4856262833675564
a perfect fit,491,3.443991853360489
a perfect man,455,3.565934065934066
a pigeon sat on a branch reflecting on existence,464,3.5474137931034484
a place at the table,461,3.507592190889371
a place called hollywood,505,3.522772277227723
a place in the stars,480,3.5614583333333334
a place in the sun,498,3.5773092369477912
a plastic ocean,476,3.5651260504201683
a portrait of postwar japan,475,3.4694736842105263
a pre-opening report from disneyland,455,3.5615384615384613
a prince for christmas,456,3.530701754385965
a princess for christmas,448,3.529017857142857
a private war,496,3.6078629032258065
a promise to astrid,471,3.462845010615711
a promise to my father,491,3.4918533604887982
a queen is born,471,3.4639065817409764
a quiet heart,473,3.509513742071882
a rainy day in new york,495,3.562626262626263
a reckoning,481,3.5384615384615383
a refuge of last resort,511,3.4373776908023483
a remarkable tale,484,3.59297520661157
a ring of endless light,470,3.519148936170213
a river runs through it,454,3.6751101321585904
a room full of nothing,460,3.518478260869565
a royal night out,484,3.4669421487603307
a russell peters christmas,461,3.524945770065076
a sap story,516,3.6114341085271318
a scandall,470,3.526595744680851
a score to settle,496,3.5745967741935485
a second chance,973,3.5462487153134634
a second chance:  rivals!,469,3.4712153518123667
a secret love,476,3.573529411764706
a separation,495,3.5383838383838384
a series of light,505,3.5762376237623763
a series of unfortunate events,499,3.564128256513026
a serious man,471,3.5042462845010616
a shaun the sheep movie: farmageddon,461,3.4566160520607374
a shot in the dark,488,3.540983606557377
a sierra nevada gunfight,466,3.61587982832618
a silent voice,477,3.5335429769392035
a single man,475,3.5326315789473686
a social cure,508,3.5255905511811023
a song is born,470,3.4851063829787234
a sort of family,459,3.5751633986928106
a sort of homecoming,477,3.4716981132075473
a spark in nothing,450,3.5733333333333333
a spark story,474,3.537974683544304
a state of mind,503,3.60337972166998
a stitch in time,503,3.5685884691848906
a stone in the water,554,3.5415162454873648
a stoning in fulham county,474,3.521097046413502
a stormy night,482,3.521784232365145
a storybots christmas,502,3.443227091633466
a storybots space adventure,473,3.5137420718816066
a sun,463,3.512958963282937
a sunburnt christmas,467,3.400428265524625
a sweetest kiss,474,3.523206751054852
a taiwanese tale of two cities,517,3.4468085106382977
a tale of love and darkness,519,3.4903660886319847
a tale of two bunnies,445,3.5707865168539326
a tale of two critters,498,3.4196787148594376
a tale of two kitchens,495,3.5515151515151517
a talent for the game,482,3.5643153526970957
a taste of jupiter,505,3.621782178217822
a taxi driver,476,3.5210084033613445
